F_rm_r Farmer
Po_iceman Policeman
F_r_f_gh_er Firefighter
En_in_er Engineer
N_rse Nurse
B_ff_lo Buffalo
Tig_r Tiger
Sn_ke Snake
H_rs_ Horse
Go_t Goat
Ch_cken Chicken
P_g Pig
L_on Lion
F_sh Fish
B_rd Bird
K_ng_roo Kangaroo
H_ppo Hippo
Eleph_nt Elephant
Ra_bit Rabbit
Gir_ff_ Giraffe
Ap_le Apple
Or_ng_ Orange
B_n_na Banana
W_t_rm_lon Watermelon
Str_wb_rry Strawberry
M_n_o Mango
P_paya Papaya
P_ne_pple Pineapple
G_ap_ Grape
B_rry Berry
L_m_n Lemon
P_ar Pear
Ch_rry Cherry
K_w_  Kiwi
G_a_a Guava
Pl_m Plum
Ap_icot Apricot
C_c_mber Cucumber
D_te Date

tr_e tree
a_t ant
perfe_t perfect
